#  day      ffa      ffb      ffc      ffd  fferra  fferrb  fferrc   fferrd
#
367.46 35.00410 16.19204 17.72692  5.87451 0.26221 0.14684 0.15529 0.10201
369.40 33.29103 16.27974 17.28525  5.78491 0.26931 0.17666 0.18128 0.14094
372.63 34.27032 16.34960 16.75389  5.70605 0.25196 0.13797 0.14033 0.08679
375.48 34.26173 16.63684 17.50113  5.79749 0.25496 0.14509 0.14999 0.09557
380.45 33.81778 17.04820 17.19653  5.91125 0.29284 0.20966 0.21026 0.17728
385.65 33.23001 17.13335 17.04629  5.67576 0.31685 0.24631 0.24602 0.21878
388.54 34.45851 16.97927 16.97123  5.98571 0.26487 0.16156 0.16152 0.11718
389.48 33.66352 17.01978 17.16879  6.09364 0.26962 0.17708 0.17779 0.13778
391.45 35.20654 17.54359 17.57495  5.91766 0.32339 0.24275 0.24286 0.21345
394.97 32.93294 16.85433 17.01441  5.84012 0.29794 0.22258 0.22318 0.19312
396.23 33.30133 17.40289 16.83935  5.81264 0.25489 0.15959 0.15660 0.11084
399.22 32.93387 16.80680 17.10325  5.80722 0.24635 0.14623 0.14790 0.09588
399.98 33.62284 16.91585 16.75871  5.89355 0.28635 0.20155 0.20091 0.16824
403.38 34.20605 17.06925 16.98020  6.08417 0.25441 0.14720 0.14670 0.09595
406.31 34.09132 16.86073 17.24654  5.95753 0.25425 0.14706 0.14923 0.09714
411.36 34.77086 17.08233 17.43986  5.88419 0.25649 0.14437 0.14645 0.09078
415.51 34.08498 17.17987 17.52057  5.83286 0.25428 0.14897 0.15090 0.09694
419.21 35.30886 17.21792 17.80726  5.85551 0.28300 0.18311 0.18585 0.14381
423.23 35.40402 16.75314 17.53626  5.80042 0.28709 0.18642 0.18992 0.15049
425.23 35.78376 16.32869 17.50906  5.93571 0.28341 0.17506 0.18056 0.13895
428.31 36.11698 16.73265 17.61453  5.60238 0.26995 0.15058 0.15543 0.10244
433.31 35.03314 16.51881 17.39916  5.67881 0.25643 0.13779 0.14301 0.08483
438.31 34.77053 16.42429 17.46405  5.83206 0.27711 0.17541 0.18026 0.13863
441.31 35.13308 16.34511 17.67303  5.52070 0.25438 0.13159 0.13975 0.07562
442.20 35.36547 16.55689 17.45557  5.62225 0.26398 0.14776 0.15275 0.09975
447.17 34.12937 16.52803 17.55641  5.92769 0.25353 0.14349 0.14935 0.09447
452.22 34.60945 16.38713 17.87678  5.79084 0.27104 0.16713 0.17445 0.12812
456.31 33.52594 16.41534 17.19187  5.86606 0.25004 0.14369 0.14808 0.09555
460.18 33.66084 16.78792 17.07393  5.99233 0.24758 0.13995 0.14164 0.08681
465.17 34.56900 16.92100 17.43600  5.99900 0.25681 0.14638 0.14931 0.09570
465.88 34.27782 16.89413 17.95919  6.05567 0.28081 0.18779 0.19257 0.15191
469.13 34.10714 16.70103 16.95634  6.01480 0.25237 0.14267 0.14414 0.09198
475.06 33.10881 16.29729 16.82055  5.92929 0.39412 0.33857 0.33982 0.32146
479.00 33.19995 16.35539 17.18767  5.88994 0.24390 0.13633 0.14126 0.08473
482.29 33.87069 16.89757 16.87742  6.08788 0.25420 0.14965 0.14954 0.10110
488.23 33.97602 16.51995 17.65094  6.02661 0.26755 0.16849 0.17402 0.12960
493.07 34.48667 16.68613 17.04494  5.87688 0.25248 0.13825 0.14038 0.08463
493.97 33.60718 16.90293 17.05469  5.97044 0.27518 0.18543 0.18611 0.14876
498.16 34.03352 17.22767 17.14771  5.72656 0.25430 0.14986 0.14941 0.09758
503.15 34.32367 16.57091 17.49936  5.91825 0.25842 0.15003 0.15511 0.10378
508.13 34.27765 16.90134 17.65788  5.83586 0.26003 0.15504 0.15912 0.10821
511.12 34.18854 16.92197 17.95575  5.79814 0.25077 0.14015 0.14632 0.08520
516.03 32.84686 17.28210 17.23822  5.85312 0.25183 0.15870 0.15847 0.11059
522.11 34.06151 16.85651 17.51343  5.73099 0.24564 0.13196 0.13609 0.07141
524.08 34.37619 16.79634 17.50589  5.83330 0.27442 0.17671 0.18005 0.13809
529.08 34.74393 16.71767 17.54305  5.58356 0.26613 0.15928 0.16357 0.11490
533.21 34.39762 16.43995 17.13108  5.86526 0.28384 0.18929 0.19227 0.15580
538.10 33.93121 16.65796 17.24629  5.76541 0.27768 0.18516 0.18778 0.14939
540.02 34.69086 17.12752 17.10347  5.88918 0.26585 0.16150 0.16138 0.11579
544.03 34.33335 17.06727 17.31428  5.85577 0.25970 0.15478 0.15611 0.10660
546.03 34.20300 17.18600 17.60600  5.95000 0.26348 0.16301 0.16519 0.11762
550.02 34.59005 16.38729 17.70991  5.80433 0.30347 0.21594 0.22099 0.18740
554.01 33.96105 16.67676 17.55807  5.87534 0.24670 0.13408 0.13948 0.07772
557.87 33.19671 16.88502 17.66709  5.75818 0.24238 0.13682 0.14158 0.07984
560.99 33.44839 16.77624 17.84207  5.87564 0.24877 0.14442 0.15055 0.09359
564.98 33.27542 16.98422 16.83801  5.84067 0.29701 0.21930 0.21874 0.18875
571.96 34.39487 16.66791 17.84398  5.99633 0.29765 0.21034 0.21501 0.17997
576.95 33.58295 16.91061 17.28502  5.89148 0.41779 0.36510 0.36596 0.34783
581.93 34.31756 16.10781 18.34987  5.80634 0.25691 0.14495 0.15747 0.09974
585.86 34.39423 16.23532 17.41699  5.77076 0.25211 0.13605 0.14303 0.08500
589.91 33.98373 16.04804 17.74332  6.06974 0.25548 0.14595 0.15527 0.10241
591.90 34.59434 16.16109 17.45161  5.99681 0.30050 0.21085 0.21583 0.18282
594.98 33.27049 16.36930 17.14313  6.04963 0.24436 0.13639 0.14098 0.08525
