#  day      ffa      ffb      ffc      ffd  fferra  fferrb  fferrc   fferrd
#
861.05 25.95008 11.89926 13.58708  4.56504 0.26303 0.22369 0.22713 0.21376
863.07 25.34722 12.16854 13.04427  4.71976 0.21339 0.16655 0.16891 0.15234
866.04 26.35438 12.25778 13.64072  4.51291 0.19933 0.14191 0.14638 0.12435
868.09 25.50775 11.97622 13.43669  4.59103 0.18005 0.11898 0.12447 0.09876
871.10 25.12260 12.06299 13.03852  4.70182 0.22036 0.17629 0.17877 0.16320
873.97 25.17234 11.56789 12.88985  4.53214 0.19559 0.14235 0.14638 0.12722
879.04 24.94701 11.23858 13.19521  4.56179 0.19780 0.14583 0.15162 0.13217
883.03 24.94342 11.37733 13.15751  4.50838 0.18867 0.13363 0.13939 0.11802
885.92 24.98211 11.16734 12.95235  4.54776 0.18034 0.12061 0.12687 0.10393
891.86 24.42592 11.54475 12.90633  4.45004 0.17123 0.11243 0.11764 0.09250
894.94 23.75187 11.36817 12.41675  4.29148 0.19168 0.14521 0.14827 0.13075
900.09 24.22695 11.22296 12.47523  4.22299 0.17929 0.12469 0.12890 0.10796
902.82 24.15036 11.29266 12.50219  4.25300 0.16249 0.09998 0.10503 0.07782
904.94 23.51101 11.30800 12.53900  4.25700 0.18456 0.13698 0.14079 0.12171
908.19 22.64249 10.65266 11.81710  4.35894 0.19223 0.15027 0.15337 0.13849
909.96 23.09287 11.01332 12.28302  4.27886 0.17190 0.12131 0.12562 0.10492
912.89 23.16569 10.68939 12.08910  4.41523 0.17244 0.12053 0.12520 0.10543
914.82 22.94772 11.01049 12.32379  4.41384 0.17526 0.12698 0.13125 0.11163
915.79 23.18402 11.20883 12.18553  4.49045 0.17469 0.12526 0.12850 0.10905
921.84 22.44958 11.29980 11.81889  4.24968 0.17080 0.12500 0.12672 0.10807
923.86 22.51596 11.15106 11.95942  4.27957 0.17800 0.13383 0.13632 0.11872
925.89 22.44076 10.84801 11.75326  4.39962 0.15700 0.10372 0.10721 0.08496
928.79 22.33473 11.00342 12.11358  4.25746 0.15351 0.09983 0.10436 0.07912
931.79 22.01766 11.18884 11.52987  4.16931 0.17064 0.12717 0.12826 0.11087
933.75 21.80189 11.10626 11.51790  4.16247 0.18598 0.14805 0.14918 0.13454
934.14 21.55521 11.10909 11.18790  4.30493 0.20772 0.17568 0.17586 0.16458
934.91 21.96289 11.31099 11.36965  4.14047 0.16041 0.11389 0.11410 0.09477
937.86 22.21821 11.11010 11.53197  4.38320 0.16240 0.11422 0.11572 0.09641
941.74 22.63127 11.24222 11.69470  4.18524 0.16452 0.11480 0.11642 0.09623
945.82 22.15534 10.88534 11.78654  4.09437 0.15615 0.10477 0.10823 0.08553
948.95 22.32460 10.83454 11.76327  4.03418 0.16963 0.12272 0.12576 0.10686
950.94 22.05930 10.90789 11.41590  4.01024 0.17717 0.13474 0.13624 0.12020
954.70 22.00446 10.62533 11.65242  3.97223 0.19037 0.15124 0.15394 0.13920
958.70 21.85370 10.79876 11.57231  4.06092 0.16137 0.11422 0.11692 0.09717
959.92 21.88904 10.62396 11.54013  4.02574 0.17392 0.13063 0.13340 0.11655
963.69 21.71013 10.44558 11.40685  3.92767 0.16095 0.11342 0.11671 0.09743
965.70 21.50504 10.25475 11.04281  3.82358 0.15776 0.10966 0.11238 0.09363
969.75 21.78975 10.46502 11.36687  4.01968 0.19558 0.15843 0.16065 0.14744
973.70 21.89000 10.30900 11.32400  3.85400 0.18132 0.13947 0.14227 0.12712
975.69 21.61481 10.46223 11.44231  3.83941 0.15182 0.10085 0.10461 0.08222
978.79 21.47667 10.61802 11.07021  3.80504 0.16266 0.11795 0.11943 0.10185
981.71 20.95151 10.21542 11.07987  3.91348 0.14150 0.08931 0.09295 0.06907
982.67 20.90020 10.23669 11.20900  3.79750 0.15479 0.10958 0.11295 0.09357
984.67 21.41342  9.99898 11.18601  3.71470 0.17425 0.13211 0.13550 0.11980
987.66 20.60043 10.20461 10.86642  3.85893 0.15657 0.11395 0.11613 0.09885
991.75 21.53179 10.52515 11.03988  3.81359 0.20421 0.17029 0.17146 0.15979
996.66 20.95807 10.23080 10.88804  3.77259 0.14480 0.09446 0.09707 0.07528
997.71 21.94077 10.46104 11.60247  3.88044 0.15609 0.10475 0.10900 0.08704
1009.77 20.37270 10.09042 10.55408  3.80115 0.14716 0.10188 0.10356 0.08505
1012.76 20.41835 10.65470 10.39797  3.63914 0.18072 0.14744 0.14678 0.13464
1016.75 20.12990 10.10968 10.80732  3.65605 0.17869 0.14499 0.14679 0.13350
1019.74 20.42535 10.09768 10.39380  3.57318 0.22238 0.19521 0.19577 0.18680
1022.73 20.91459  9.92028 11.01892  3.73893 0.27977 0.25704 0.25864 0.25105
1025.66 20.37486  9.98695 10.50560  3.66843 0.15406 0.11127 0.11297 0.09630
1028.71 20.45368 10.17340 10.63092  3.77407 0.16144 0.12136 0.12276 0.10731
1031.67 20.46266 10.16374 10.53825  3.56782 0.15843 0.11724 0.11843 0.10240
1034.70 20.46156 10.05491 10.45976  3.74279 0.14447 0.09716 0.09869 0.07940
1040.68 20.41050 10.29158 10.78749  3.71027 0.17108 0.13448 0.13587 0.12152
1044.66 20.52277 10.04716 10.60205  3.65442 0.15450 0.11110 0.11294 0.09586
1046.48 20.03665 10.02936 10.99538  3.70157 0.14797 0.10518 0.10860 0.08908
1049.58 20.51217  9.84126 10.67389  3.55630 0.13902 0.08756 0.09101 0.06809
1051.49 19.93615 10.04457 10.67242  3.67172 0.23021 0.20572 0.20686 0.19793
1053.65 20.54967 10.20426 10.57063  3.53656 0.13804 0.08718 0.08874 0.06559
1056.64 20.55866 10.17821 10.77084  3.68452 0.16241 0.12203 0.12384 0.10793
1059.67 19.96357  9.97927 10.50174  3.56366 0.16870 0.13303 0.13447 0.12070
1063.62 19.89194 10.03754 10.51890  3.59770 0.15321 0.11339 0.11495 0.09847
1066.67 20.10690 10.11621 10.52889  3.49022 0.14329 0.09829 0.09984 0.08010
1070.60 20.09142  9.89349 10.42250  3.57132 0.16577 0.12834 0.12984 0.11579
1076.60 20.27102  9.58412 10.31597  3.51886 0.19891 0.16757 0.16913 0.15881
1081.45 19.26013  9.60535 10.02650  3.38204 0.15144 0.11358 0.11488 0.09995
1085.37 19.51527  9.84582 10.03016  3.49152 0.13286 0.08620 0.08696 0.06618
1088.49 20.19923  9.77395  9.96116  3.42049 0.15865 0.11799 0.11855 0.10442
1090.48 19.82555  9.48107  9.93625  3.34147 0.19255 0.16174 0.16272 0.15273
1093.46 19.98149  9.61641  9.94606  3.57848 0.18058 0.14685 0.14764 0.13673
1097.61 20.32681 10.13625 10.24185  3.60134 0.13885 0.09002 0.09045 0.06980
1100.58 19.82554 10.00590 10.06631  3.47257 0.13775 0.09182 0.09206 0.07253
1102.49 20.24066 10.27448 10.42214  3.60076 0.19351 0.16278 0.16312 0.15220
1105.55 20.82209 10.18705 10.29854  3.58695 0.16408 0.12268 0.12302 0.10853
